iter,label,metric,df,F,R2,p,n_units,n_trt_lvls
75,Bootstrap,Gower (sqrt→z),2,7.186297977491565,0.5250724475902923,0.001,16,3
75,Bootstrap,Gower (prop→z),2,2.4297181098673564,0.2720934838001787,0.001,16,3
76,Bootstrap,Jaccard (incidence),2,2.2930983329604637,0.23415452954685667,0.02,18,3
76,Bootstrap,Gower (sqrt→z),2,9.220915820966562,0.55145997502148425,0.001,18,3
76,Bootstrap,Gower (prop→z),2,2.609704007800958,0.2581385177832338,0.001,18,3
77,Bootstrap,Jaccard (incidence),2,2.1759085959303124,0.26613660982137277,0.023,15,3
77,Bootstrap,Gower (sqrt→z),2,7.645002200859938,0.5602785612140196,0.001,15,3
77,Bootstrap,Gower (prop→z),2,2.090702459177007,0.2584080269576091,0.018,15,3
78,Bootstrap,Jaccard (incidence),2,2.3430482027491664,0.2649593385706921,0.012,16,3
78,Bootstrap,Gower (sqrt→z),2,8.814791179133293,0.5755737101491545,0.001,16,3
78,Bootstrap,Gower (prop→z),2,2.3809613949282418,0.268097257610867,0.006,16,3
79,Bootstrap,Jaccard (incidence),2,1.6351111855242217,0.16970340601578224,0.085,19,3
79,Bootstrap,Gower (sqrt→z),2,7.731923978566313,0.491479871699135,0.001,19,3
79,Bootstrap,Gower (prop→z),2,1.6135076540957518,0.16783755858438734,0.07,19,3
80,Bootstrap,Jaccard (incidence),2,1.679475445427211,0.21869663590463914,0.082,15,3
80,Bootstrap,Gower (sqrt→z),2,8.112096135521265,0.5748328283494666,0.001,15,3
80,Bootstrap,Gower (prop→z),2,2.4667169827688107,0.2913427941183099,0.002,15,3
81,Bootstrap,Jaccard (incidence),2,2.8541681658398197,0.27565402841883624,0.005,18,3
81,Bootstrap,Gower (sqrt→z),2,9.125971448129885,0.548898539649326,0.001,18,3
81,Bootstrap,Gower (prop→z),2,2.5641945170955727,0.2547838789025685,0.001,18,3
82,Bootstrap,Jaccard (incidence),2,1.8001877840317295,0.18368911123977918,0.057,19,3
82,Bootstrap,Gower (sqrt→z),2,7.9403949734853505,0.4981303779920827,0.001,19,3
82,Bootstrap,Gower (prop→z),2,1.4778502291074611,0.1559267337406145,0.114,19,3
83,Bootstrap,Jaccard (incidence),2,1.448985009776495,0.1714981158209945,0.166,17,3
83,Bootstrap,Gower (sqrt→z),2,7.057954859772656,0.5020612834637311,0.001,17,3
83,Bootstrap,Gower (prop→z),2,1.3142939160468392,0.1580764319036415,0.2,17,3
84,Bootstrap,Jaccard (incidence),2,2.582880315556872,0.25616492854445044,0.004,18,3
84,Bootstrap,Gower (sqrt→z),2,8.973945603009728,0.5447356583094594,0.001,18,3
84,Bootstrap,Gower (prop→z),2,1.7048496165656866,0.18521210965766577,0.065,18,3
85,Bootstrap,Jaccard (incidence),2,2.552836862152288,0.26723337779026235,0.009,17,3
85,Bootstrap,Gower (sqrt→z),2,8.358530985219923,0.5442272436904052,0.001,17,3
85,Bootstrap,Gower (prop→z),2,2.793197419658573,0.2852181264161582,0.003,17,3
86,Bootstrap,Jaccard (incidence),2,1.7671788914805588,0.2275187576043719,0.095,15,3
86,Bootstrap,Gower (sqrt→z),2,7.067501657768616,0.5408456675853561,0.001,15,3
86,Bootstrap,Gower (prop→z),2,1.6509570965885745,0.21578438824662954,0.061,15,3
87,Bootstrap,Jaccard (incidence),2,2.874201313315297,0.2910819034486824,0.005,17,3
87,Bootstrap,Gower (sqrt→z),2,8.655701017848246,0.5528785333841221,0.001,17,3
87,Bootstrap,Gower (prop→z),2,2.8160805421772084,0.2868844168583605,0.001,17,3
88,Bootstrap,Jaccard (incidence),2,2.313504350013266,0.26249540002890953,0.018,16,3
88,Bootstrap,Gower (sqrt→z),2,7.496738700325776,0.5356061051672907,0.001,16,3
88,Bootstrap,Gower (prop→z),2,2.2250787409919277,0.25502104990045804,0.007,16,3
89,Bootstrap,Jaccard (incidence),2,1.5918980672181078,0.17508973983748016,0.129,18,3
89,Bootstrap,Gower (sqrt→z),2,8.30771020415977,0.5255479823999818,0.001,18,3
89,Bootstrap,Gower (prop→z),2,1.4801516188615127,0.16482479157174448,0.086,18,3
90,Bootstrap,Jaccard (incidence),2,1.620815908968427,0.18801189192339163,0.124,17,3
90,Bootstrap,Gower (sqrt→z),2,6.8584191140738175,0.494891881795435,0.001,17,3
90,Bootstrap,Gower (prop→z),2,1.518595082603839,0.17826825525549658,0.075,17,3
91,Bootstrap,Jaccard (incidence),2,1.419878274339776,0.1591813509859664,0.164,18,3
91,Bootstrap,Gower (sqrt→z),2,7.236950188895427,0.491075161151634,0.001,18,3
91,Bootstrap,Gower (prop→z),2,1.331232480383742,0.150741415010954,0.171,18,3
92,Bootstrap,Jaccard (incidence),2,2.452753307576724,0.2739663680335027,0.013,16,3
92,Bootstrap,Gower (sqrt→z),2,8.22831423343827,0.5586731857443132,0.001,16,3
92,Bootstrap,Gower (prop→z),2,2.5872009892648262,0.2847082387988577,0.004,16,3
93,Bootstrap,Jaccard (incidence),2,2.109107488674646,0.2600911988921432,0.029,15,3
93,Bootstrap,Gower (sqrt→z),2,8.354522439835009,0.5820132627087965,0.001,15,3
93,Bootstrap,Gower (prop→z),2,2.299253471648526,0.27704340872382255,0.006,15,3
94,Bootstrap,Jaccard (incidence),2,1.9277402715707022,0.1848665407237202,0.039,20,3
94,Bootstrap,Gower (sqrt→z),2,8.672023890989871,0.5050088414761679,0.001,20,3
94,Bootstrap,Gower (prop→z),2,1.5919922095956711,0.1577480616841908,0.076,20,3
95,Bootstrap,Jaccard (incidence),2,1.5138424125434513,0.16794640323829305,0.122,18,3
95,Bootstrap,Gower (sqrt→z),2,7.493495529899981,0.49978309027114304,0.001,18,3
95,Bootstrap,Gower (prop→z),2,1.4531013590575927,0.162301452958257,0.092,18,3
96,Bootstrap,Jaccard (incidence),2,1.6208626962197794,0.1684737374805949,0.068,19,3
96,Bootstrap,Gower (sqrt→z),2,6.4904720590585505,0.44791308610274766,0.001,19,3
96,Bootstrap,Gower (prop→z),2,1.675295636338101,0.1731518807597042,0.047,19,3
97,Bootstrap,Jaccard (incidence),2,1.343154824592159,0.16098884089182858,0.187,17,3
97,Bootstrap,Gower (sqrt→z),2,5.86657263004096,0.4559545730417476,0.001,17,3
97,Bootstrap,Gower (prop→z),2,1.37961081617308,0.1646390084740403,0.134,17,3
98,Bootstrap,Jaccard (incidence),2,1.9867367458547105,0.2094225653223515,0.029,18,3
98,Bootstrap,Gower (sqrt→z),2,7.466429813523154,0.4988784838169449,0.001,18,3
98,Bootstrap,Gower (prop→z),2,1.4019917702812774,0.15749191938839305,0.128,18,3
99,Bootstrap,Jaccard (incidence),2,1.8906590775066416,0.1911560253660327,0.026,19,3
99,Bootstrap,Gower (sqrt→z),2,9.15263948142814,0.5335994784556671,0.001,19,3
99,Bootstrap,Gower (prop→z),2,1.499300177254819,0.15783269812283146,0.105,19,3
100,Bootstrap,Jaccard (incidence),2,1.7325139595790904,0.16142666723790003,0.062,21,3
